1	0.009934
2	0.009874
3	0.009987
4	0.010003
5	0.010212
6	0.009969
7	0.009881
8	0.010204
9	0.01006
10	0.010186
11	0.009985
12	0.009941
13	0.010025
14	0.01004
15	0.010059
16	0.009864
17	0.009948
18	0.010053
19	0.009922
20	0.010036
21	0.010002
22	0.009826
23	0.009935
24	0.009885
25	0.009978
26	0.010037
27	0.010141
28	0.009995
29	0.010215
30	0.009982
31	0.010002
32	0.009999
33	0.009818
34	0.010101
35	0.010104
36	0.010075
37	0.009831
38	0.009987
39	0.009998
40	0.010081
41	0.009911
42	0.009986
43	0.010062
44	0.010051
45	0.009971
46	0.009903
47	0.010098
48	0.009908
49	0.00989
50	0.009955
51	0.010097
52	0.010008
53	0.009921
54	0.010071
55	0.010056
56	0.010129
57	0.009964
58	0.010019
59	0.010011
60	0.010005
61	0.010108
62	0.009905
63	0.010076
64	0.009924
65	0.010051
66	0.010116
67	0.009928
68	0.010012
69	0.009935
70	0.009954
71	0.009992
72	0.010139
73	0.009999
74	0.009959
75	0.009908
76	0.01
77	0.010238
78	0.009835
79	0.010044
80	0.009946
81	0.010207
82	0.010076
83	0.00986
84	0.010109
85	0.009869
86	0.009917
87	0.009924
88	0.01001
89	0.009993
90	0.010038
91	0.010099
92	0.009994
93	0.009887
94	0.010076
95	0.009868
96	0.009806
97	0.010062
98	0.009973
99	0.010064
100	0.009908
