1	0.200046
2	0.160007
3	0.127633
4	0.102969
5	0.081211
6	0.065509
7	0.052148
8	0.042029
9	0.033517
10	0.027146
11	0.021469
12	0.017247
13	0.013906
14	0.011117
15	0.008759
16	0.00694
17	0.005793
18	0.004496
19	0.003544
20	0.002883
21	0.002391
22	0.001905
23	0.001469
24	0.001171
25	0.000944
26	0.000752
27	0.000609
28	0.000453
29	0.000378
30	0.000298
31	0.000247
32	0.000195
33	0.000163
34	0.000141
35	0.000104
36	7.3e-05
37	7e-05
38	5.6e-05
39	3.9e-05
40	4e-05
41	2.8e-05
42	1.4e-05
43	1.6e-05
44	1.6e-05
45	1.1e-05
46	7e-06
47	8e-06
48	7e-06
49	1.1e-05
50	1e-06
51	4e-06
52	4e-06
53	1e-06
54	1e-06
55	0
56	0
57	0
58	2e-06
59	1e-06
60	0
61	1e-06
